Uhrzeit  Einkaufswert (EUR)
08:43               12.74
12:22               35.64
09:29               20.64
13:16               31.92
15:31               45.67
19:28               85.09
14:38               53.07
11:41               34.82
10:03               15.49
08:53                8.97
16:49               49.78
12:06               26.13
13:44               36.01
18:41               78.62
17:09               62.34
09:50               17.29
15:58               40.09
10:27               22.67
14:15               27.79
08:20                7.57
12:59               46.43
16:58               46.69
11:05               22.82
17:03               61.17
19:21               50.68
13:07               31.32
18:20               70.94
09:25               20.07
08:34                9.22
15:27               49.85
10:54               25.14
12:52               45.20
14:17               42.61
16:12               41.55
19:51               89.78
11:21               26.44
09:14               18.82
17:38               74.27
13:36               43.78
10:39               21.06
18:04               64.59
08:47               10.86
12:33               38.79
15:14               33.23
14:45               47.09
16:38               49.45
11:09               22.04
09:58               15.05
19:45               84.90
08:06                7.86
17:23               68.56
