Uhrzeit  Einkaufswert (EUR)
09:17               15.53
15:42               50.21
08:59                8.71
14:26               34.12
17:33               76.45
10:05               20.98
12:38               63.72
09:41               15.97
16:04               41.86
10:18               32.59
14:59               45.38
13:28               29.77
09:22               11.68
08:28                7.14
11:49               42.73
17:42               59.95
14:54               37.27
13:06               49.02
18:52               92.43
16:33               69.61
11:55               58.85
09:37               16.11
12:13               27.43
15:19               36.25
10:49               24.33
19:15               88.04
08:10                5.73
12:02               31.89
13:57               55.76
09:02                9.87
15:51               41.39
18:29               76.26
16:23               47.66
11:15               26.58
14:47               53.94
10:31               28.74
17:19               72.61
08:16                6.49
12:44               33.07
19:05               82.15
13:49               55.35
09:08               13.96
11:33               33.92
15:06               37.88
18:12               70.39
14:06               24.59
10:42               23.71
16:17               44.84
17:56               64.28
